"net","n","rep","method","power","fdr","shd"
"ecoli70",300,0,"hc",0.514285714285714,0.612903225806452,78
"ecoli70",300,0,"tabu",0.542857142857143,0.577777777777778,73
"ecoli70",300,0,"mmhc",0.371428571428571,0.458333333333333,58
"ecoli70",300,0,"h2pc",0.4,0.377777777777778,54
"ecoli70",300,1,"hc",0.557142857142857,0.535714285714286,66
"ecoli70",300,1,"tabu",0.557142857142857,0.535714285714286,66
"ecoli70",300,1,"mmhc",0.371428571428571,0.422222222222222,51
"ecoli70",300,1,"h2pc",0.385714285714286,0.41304347826087,48
"ecoli70",300,2,"hc",0.542857142857143,0.577777777777778,68
"ecoli70",300,2,"tabu",0.6,0.533333333333333,70
"ecoli70",300,2,"mmhc",0.357142857142857,0.479166666666667,48
"ecoli70",300,2,"h2pc",0.385714285714286,0.4375,42
"ecoli70",300,3,"hc",0.571428571428571,0.540229885057471,66
"ecoli70",300,3,"tabu",0.628571428571429,0.469879518072289,59
"ecoli70",300,3,"mmhc",0.357142857142857,0.5,51
"ecoli70",300,3,"h2pc",0.385714285714286,0.4375,43
"ecoli70",300,4,"hc",0.528571428571429,0.579545454545455,72
"ecoli70",300,4,"tabu",0.614285714285714,0.5,69
"ecoli70",300,4,"mmhc",0.371428571428571,0.48,41
"ecoli70",300,4,"h2pc",0.414285714285714,0.42,37
"ecoli70",300,5,"hc",0.514285714285714,0.586206896551724,69
"ecoli70",300,5,"tabu",0.571428571428571,0.523809523809524,63
"ecoli70",300,5,"mmhc",0.357142857142857,0.489795918367347,49
"ecoli70",300,5,"h2pc",0.357142857142857,0.444444444444444,51
"ecoli70",300,6,"hc",0.614285714285714,0.5,69
"ecoli70",300,6,"tabu",0.614285714285714,0.5,69
"ecoli70",300,6,"mmhc",0.414285714285714,0.395833333333333,44
"ecoli70",300,6,"h2pc",0.428571428571429,0.375,51
"ecoli70",300,7,"hc",0.5,0.593023255813954,65
"ecoli70",300,7,"tabu",0.514285714285714,0.576470588235294,65
"ecoli70",300,7,"mmhc",0.371428571428571,0.458333333333333,45
"ecoli70",300,7,"h2pc",0.385714285714286,0.425531914893617,46
"ecoli70",300,8,"hc",0.528571428571429,0.593406593406593,72
"ecoli70",300,8,"tabu",0.542857142857143,0.573033707865168,69
"ecoli70",300,8,"mmhc",0.371428571428571,0.458333333333333,40
"ecoli70",300,8,"h2pc",0.357142857142857,0.468085106382979,38
"ecoli70",300,9,"hc",0.528571428571429,0.55952380952381,69
"ecoli70",300,9,"tabu",0.6,0.493975903614458,70
"ecoli70",300,9,"mmhc",0.357142857142857,0.456521739130435,43
"ecoli70",300,9,"h2pc",0.371428571428571,0.434782608695652,47
"ecoli70",1000,0,"hc",0.671428571428571,0.459770114942529,51
"ecoli70",1000,0,"tabu",0.685714285714286,0.435294117647059,48
"ecoli70",1000,0,"mmhc",0.442857142857143,0.38,52
"ecoli70",1000,0,"h2pc",0.485714285714286,0.381818181818182,47
"ecoli70",1000,1,"hc",0.7,0.409638554216867,49
"ecoli70",1000,1,"tabu",0.714285714285714,0.375,44
"ecoli70",1000,1,"mmhc",0.485714285714286,0.381818181818182,41
"ecoli70",1000,1,"h2pc",0.5,0.385964912280702,46
"ecoli70",1000,2,"hc",0.614285714285714,0.505747126436782,55
"ecoli70",1000,2,"tabu",0.685714285714286,0.421686746987952,57
"ecoli70",1000,2,"mmhc",0.428571428571429,0.411764705882353,42
"ecoli70",1000,2,"h2pc",0.457142857142857,0.384615384615385,36
"ecoli70",1000,3,"hc",0.7,0.430232558139535,55
"ecoli70",1000,3,"tabu",0.714285714285714,0.404761904761905,52
"ecoli70",1000,3,"mmhc",0.442857142857143,0.415094339622642,46
"ecoli70",1000,3,"h2pc",0.5,0.396551724137931,39
"ecoli70",1000,4,"hc",0.671428571428571,0.459770114942529,42
"ecoli70",1000,4,"tabu",0.685714285714286,0.448275862068966,45
"ecoli70",1000,4,"mmhc",0.428571428571429,0.444444444444444,40
"ecoli70",1000,4,"h2pc",0.5,0.396551724137931,38
"ecoli70",1000,5,"hc",0.614285714285714,0.511363636363636,58
"ecoli70",1000,5,"tabu",0.671428571428571,0.44047619047619,51
"ecoli70",1000,5,"mmhc",0.414285714285714,0.491228070175439,46
"ecoli70",1000,5,"h2pc",0.442857142857143,0.446428571428571,47
"ecoli70",1000,6,"hc",0.642857142857143,0.488636363636364,51
"ecoli70",1000,6,"tabu",0.685714285714286,0.421686746987952,45
"ecoli70",1000,6,"mmhc",0.414285714285714,0.442307692307692,37
"ecoli70",1000,6,"h2pc",0.471428571428571,0.4,42
"ecoli70",1000,7,"hc",0.628571428571429,0.521739130434783,62
"ecoli70",1000,7,"tabu",0.671428571428571,0.483516483516484,61
"ecoli70",1000,7,"mmhc",0.471428571428571,0.431034482758621,44
"ecoli70",1000,7,"h2pc",0.514285714285714,0.379310344827586,37
"ecoli70",1000,8,"hc",0.671428571428571,0.433734939759036,42
"ecoli70",1000,8,"tabu",0.714285714285714,0.358974358974359,34
"ecoli70",1000,8,"mmhc",0.485714285714286,0.346153846153846,37
"ecoli70",1000,8,"h2pc",0.514285714285714,0.368421052631579,27
"ecoli70",1000,9,"hc",0.657142857142857,0.488888888888889,54
"ecoli70",1000,9,"tabu",0.671428571428571,0.465909090909091,51
"ecoli70",1000,9,"mmhc",0.428571428571429,0.444444444444444,38
"ecoli70",1000,9,"h2pc",0.457142857142857,0.418181818181818,45
