"net","n","rep","method","power","fdr","shd","edges","lambda_idx"
"ecoli70",300,0,"CCDr",0.471428571428571,0.492307692307692,62,65,7
"ecoli70",300,1,"CCDr",0.385714285714286,0.542372881355932,72,59,6
"ecoli70",300,2,"CCDr",0.457142857142857,0.58974358974359,83,78,8
"ecoli70",300,3,"CCDr",0.471428571428571,0.56,75,75,8
"ecoli70",300,4,"CCDr",0.457142857142857,0.567567567567568,73,74,8
"ecoli70",300,5,"CCDr",0.414285714285714,0.516666666666667,68,60,6
"ecoli70",300,6,"CCDr",0.471428571428571,0.484375,59,64,7
"ecoli70",300,7,"CCDr",0.457142857142857,0.522388059701492,63,67,8
"ecoli70",300,8,"CCDr",0.4,0.575757575757576,72,66,7
"ecoli70",300,9,"CCDr",0.5,0.567901234567901,73,81,8
"ecoli70",1000,0,"CCDr",0.428571428571429,0.545454545454545,64,66,7
"ecoli70",1000,1,"CCDr",0.5,0.507042253521127,69,71,8
"ecoli70",1000,2,"CCDr",0.485714285714286,0.492537313432836,57,67,8
"ecoli70",1000,3,"CCDr",0.557142857142857,0.48,61,75,8
"ecoli70",1000,4,"CCDr",0.514285714285714,0.485714285714286,55,70,8
"ecoli70",1000,5,"CCDr",0.528571428571429,0.486111111111111,59,72,8
"ecoli70",1000,6,"CCDr",0.485714285714286,0.540540540540541,65,74,8
"ecoli70",1000,7,"CCDr",0.542857142857143,0.457142857142857,57,70,8
"ecoli70",1000,8,"CCDr",0.471428571428571,0.507462686567164,57,67,8
"ecoli70",1000,9,"CCDr",0.471428571428571,0.528571428571429,59,70,8
