"net","n","rep","method","power","fdr","shd"
"magic-irri",300,0,"hc",0.333333333333333,0.626373626373626,107
"magic-irri",300,0,"tabu",0.372549019607843,0.595744680851064,113
"magic-irri",300,0,"mmhc",0.313725490196078,0.466666666666667,88
"magic-irri",300,0,"h2pc",0.294117647058824,0.375,84
"magic-irri",300,1,"hc",0.343137254901961,0.619565217391304,110
"magic-irri",300,1,"tabu",0.352941176470588,0.612903225806452,110
"magic-irri",300,1,"mmhc",0.264705882352941,0.584615384615385,100
"magic-irri",300,1,"h2pc",0.264705882352941,0.480769230769231,86
"magic-irri",300,2,"hc",0.323529411764706,0.679611650485437,120
"magic-irri",300,2,"tabu",0.294117647058824,0.724770642201835,129
"magic-irri",300,2,"mmhc",0.313725490196078,0.549295774647887,101
"magic-irri",300,2,"h2pc",0.254901960784314,0.518518518518518,93
"magic-irri",300,3,"hc",0.362745098039216,0.633663366336634,115
"magic-irri",300,3,"tabu",0.392156862745098,0.611650485436893,113
"magic-irri",300,3,"mmhc",0.274509803921569,0.569230769230769,105
"magic-irri",300,3,"h2pc",0.254901960784314,0.469387755102041,93
"magic-irri",300,4,"hc",0.401960784313726,0.613207547169811,108
"magic-irri",300,4,"tabu",0.411764705882353,0.607476635514019,109
"magic-irri",300,4,"mmhc",0.303921568627451,0.586666666666667,98
"magic-irri",300,4,"h2pc",0.264705882352941,0.526315789473684,86
"magic-irri",300,5,"hc",0.333333333333333,0.609195402298851,105
"magic-irri",300,5,"tabu",0.352941176470588,0.586206896551724,105
"magic-irri",300,5,"mmhc",0.294117647058824,0.491525423728814,86
"magic-irri",300,5,"h2pc",0.264705882352941,0.4375,83
"magic-irri",300,6,"hc",0.392156862745098,0.63302752293578,117
"magic-irri",300,6,"tabu",0.382352941176471,0.645454545454546,119
"magic-irri",300,6,"mmhc",0.284313725490196,0.579710144927536,99
"magic-irri",300,6,"h2pc",0.254901960784314,0.5,93
"magic-irri",300,7,"hc",0.343137254901961,0.653465346534653,122
"magic-irri",300,7,"tabu",0.343137254901961,0.653465346534653,122
"magic-irri",300,7,"mmhc",0.225490196078431,0.661764705882353,104
"magic-irri",300,7,"h2pc",0.235294117647059,0.48936170212766,88
"magic-irri",300,8,"hc",0.372549019607843,0.582417582417582,102
"magic-irri",300,8,"tabu",0.382352941176471,0.576086956521739,104
"magic-irri",300,8,"mmhc",0.294117647058824,0.5,90
"magic-irri",300,8,"h2pc",0.284313725490196,0.408163265306122,81
"magic-irri",300,9,"hc",0.343137254901961,0.6875,122
"magic-irri",300,9,"tabu",0.352941176470588,0.678571428571429,123
"magic-irri",300,9,"mmhc",0.303921568627451,0.537313432835821,91
"magic-irri",300,9,"h2pc",0.274509803921569,0.404255319148936,85
"magic-irri",1000,0,"hc",0.627450980392157,0.475409836065574,78
"magic-irri",1000,0,"tabu",0.656862745098039,0.450819672131148,75
"magic-irri",1000,0,"mmhc",0.5,0.433333333333333,68
"magic-irri",1000,0,"h2pc",0.490196078431373,0.375,64
"magic-irri",1000,1,"hc",0.686274509803922,0.357798165137615,56
"magic-irri",1000,1,"tabu",0.686274509803922,0.357798165137615,56
"magic-irri",1000,1,"mmhc",0.588235294117647,0.325842696629214,52
"magic-irri",1000,1,"h2pc",0.637254901960784,0.252873563218391,45
"magic-irri",1000,2,"hc",0.568627450980392,0.452830188679245,69
"magic-irri",1000,2,"tabu",0.57843137254902,0.448598130841121,72
"magic-irri",1000,2,"mmhc",0.519607843137255,0.36144578313253,58
"magic-irri",1000,2,"h2pc",0.470588235294118,0.368421052631579,63
"magic-irri",1000,3,"hc",0.676470588235294,0.36697247706422,58
"magic-irri",1000,3,"tabu",0.676470588235294,0.36697247706422,60
"magic-irri",1000,3,"mmhc",0.607843137254902,0.27906976744186,56
"magic-irri",1000,3,"h2pc",0.588235294117647,0.220779220779221,48
"magic-irri",1000,4,"hc",0.647058823529412,0.4,66
"magic-irri",1000,4,"tabu",0.656862745098039,0.401785714285714,68
"magic-irri",1000,4,"mmhc",0.568627450980392,0.340909090909091,58
"magic-irri",1000,4,"h2pc",0.568627450980392,0.292682926829268,52
"magic-irri",1000,5,"hc",0.598039215686274,0.445454545454545,67
"magic-irri",1000,5,"tabu",0.568627450980392,0.486725663716814,74
"magic-irri",1000,5,"mmhc",0.53921568627451,0.382022471910112,64
"magic-irri",1000,5,"h2pc",0.549019607843137,0.333333333333333,54
"magic-irri",1000,6,"hc",0.61764705882353,0.411214953271028,58
"magic-irri",1000,6,"tabu",0.61764705882353,0.411214953271028,59
"magic-irri",1000,6,"mmhc",0.549019607843137,0.384615384615385,57
"magic-irri",1000,6,"h2pc",0.53921568627451,0.352941176470588,54
"magic-irri",1000,7,"hc",0.666666666666667,0.381818181818182,57
"magic-irri",1000,7,"tabu",0.647058823529412,0.415929203539823,63
"magic-irri",1000,7,"mmhc",0.57843137254902,0.305882352941176,56
"magic-irri",1000,7,"h2pc",0.549019607843137,0.272727272727273,53
"magic-irri",1000,8,"hc",0.627450980392157,0.333333333333333,52
"magic-irri",1000,8,"tabu",0.627450980392157,0.333333333333333,52
"magic-irri",1000,8,"mmhc",0.568627450980392,0.292682926829268,50
"magic-irri",1000,8,"h2pc",0.549019607843137,0.243243243243243,48
"magic-irri",1000,9,"hc",0.607843137254902,0.441441441441441,76
"magic-irri",1000,9,"tabu",0.57843137254902,0.482456140350877,82
"magic-irri",1000,9,"mmhc",0.53921568627451,0.345238095238095,60
"magic-irri",1000,9,"h2pc",0.519607843137255,0.3375,60
