"net","n","rep","method","power","fdr","shd","edges","lambda_idx"
"magic-irri",300,0,"CCDr",0.205882352941176,0.533333333333333,91,45,8
"magic-irri",300,1,"CCDr",0.225490196078431,0.342857142857143,80,35,7
"magic-irri",300,2,"CCDr",0.176470588235294,0.419354838709677,87,31,6
"magic-irri",300,3,"CCDr",0.303921568627451,0.951486697965571,635,639,14
"magic-irri",300,4,"CCDr",0.323529411764706,0.637362637362637,100,91,9
"magic-irri",300,5,"CCDr",0.215686274509804,0.388888888888889,81,36,7
"magic-irri",300,6,"CCDr",0.137254901960784,0.5625,91,32,7
"magic-irri",300,7,"CCDr",0.205882352941176,0.511627906976744,86,43,8
"magic-irri",300,8,"CCDr",0.225490196078431,0.342857142857143,83,35,7
"magic-irri",300,9,"CCDr",0.274509803921569,0.681818181818182,109,88,9
"magic-irri",1000,0,"CCDr",0.186274509803922,0.424242424242424,83,33,7
"magic-irri",1000,1,"CCDr",0.313725490196078,0.418181818181818,78,55,9
"magic-irri",1000,2,"CCDr",0.284313725490196,0.462962962962963,78,54,9
"magic-irri",1000,3,"CCDr",0.245098039215686,0.404761904761905,79,42,8
"magic-irri",1000,4,"CCDr",0.284313725490196,0.462962962962963,81,54,9
"magic-irri",1000,5,"CCDr",0.147058823529412,0.5,91,30,7
"magic-irri",1000,6,"CCDr",0.264705882352941,0.357142857142857,80,42,8
"magic-irri",1000,7,"CCDr",0.176470588235294,0.4,85,30,6
"magic-irri",1000,8,"CCDr",0.294117647058824,0.444444444444444,80,54,9
"magic-irri",1000,9,"CCDr",0.254901960784314,0.422222222222222,79,45,8
