"net","n","rep","method","power","fdr","shd"
"magic-niab",300,0,"hc",0.424242424242424,0.548387096774194,59
"magic-niab",300,0,"tabu",0.439393939393939,0.546875,59
"magic-niab",300,0,"mmhc",0.348484848484849,0.549019607843137,57
"magic-niab",300,0,"h2pc",0.348484848484849,0.41025641025641,49
"magic-niab",300,1,"hc",0.424242424242424,0.5625,59
"magic-niab",300,1,"tabu",0.409090909090909,0.578125,60
"magic-niab",300,1,"mmhc",0.363636363636364,0.547169811320755,56
"magic-niab",300,1,"h2pc",0.348484848484849,0.488888888888889,51
"magic-niab",300,2,"hc",0.424242424242424,0.555555555555556,63
"magic-niab",300,2,"tabu",0.424242424242424,0.548387096774194,64
"magic-niab",300,2,"mmhc",0.348484848484849,0.557692307692308,63
"magic-niab",300,2,"h2pc",0.287878787878788,0.577777777777778,65
"magic-niab",300,3,"hc",0.515151515151515,0.451612903225806,51
"magic-niab",300,3,"tabu",0.560606060606061,0.403225806451613,51
"magic-niab",300,3,"mmhc",0.5,0.421052631578947,48
"magic-niab",300,3,"h2pc",0.515151515151515,0.333333333333333,44
"magic-niab",300,4,"hc",0.454545454545455,0.545454545454545,51
"magic-niab",300,4,"tabu",0.454545454545455,0.552238805970149,53
"magic-niab",300,4,"mmhc",0.318181818181818,0.60377358490566,55
"magic-niab",300,4,"h2pc",0.318181818181818,0.48780487804878,46
"magic-niab",300,5,"hc",0.46969696969697,0.5,55
"magic-niab",300,5,"tabu",0.46969696969697,0.5,55
"magic-niab",300,5,"mmhc",0.393939393939394,0.48,55
"magic-niab",300,5,"h2pc",0.393939393939394,0.395348837209302,51
"magic-niab",300,6,"hc",0.5,0.547945205479452,63
"magic-niab",300,6,"tabu",0.5,0.547945205479452,63
"magic-niab",300,6,"mmhc",0.318181818181818,0.618181818181818,68
"magic-niab",300,6,"h2pc",0.257575757575758,0.552631578947368,58
"magic-niab",300,7,"hc",0.409090909090909,0.517857142857143,60
"magic-niab",300,7,"tabu",0.424242424242424,0.525423728813559,64
"magic-niab",300,7,"mmhc",0.348484848484849,0.5,61
"magic-niab",300,7,"h2pc",0.303030303030303,0.411764705882353,57
"magic-niab",300,8,"hc",0.287878787878788,0.677966101694915,69
"magic-niab",300,8,"tabu",0.378787878787879,0.59016393442623,67
"magic-niab",300,8,"mmhc",0.272727272727273,0.608695652173913,58
"magic-niab",300,8,"h2pc",0.242424242424242,0.555555555555556,56
"magic-niab",300,9,"hc",0.378787878787879,0.59016393442623,58
"magic-niab",300,9,"tabu",0.409090909090909,0.564516129032258,60
"magic-niab",300,9,"mmhc",0.257575757575758,0.613636363636364,60
"magic-niab",300,9,"h2pc",0.196969696969697,0.580645161290323,56
"magic-niab",1000,0,"hc",0.787878787878788,0.287671232876712,17
"magic-niab",1000,0,"tabu",0.787878787878788,0.297297297297297,19
"magic-niab",1000,0,"mmhc",0.757575757575758,0.27536231884058,15
"magic-niab",1000,0,"h2pc",0.757575757575758,0.27536231884058,15
"magic-niab",1000,1,"hc",0.651515151515151,0.4625,44
"magic-niab",1000,1,"tabu",0.712121212121212,0.4125,41
"magic-niab",1000,1,"mmhc",0.636363636363636,0.432432432432432,40
"magic-niab",1000,1,"h2pc",0.636363636363636,0.416666666666667,38
"magic-niab",1000,2,"hc",0.727272727272727,0.368421052631579,32
"magic-niab",1000,2,"tabu",0.727272727272727,0.368421052631579,32
"magic-niab",1000,2,"mmhc",0.742424242424242,0.328767123287671,25
"magic-niab",1000,2,"h2pc",0.727272727272727,0.323943661971831,25
"magic-niab",1000,3,"hc",0.863636363636364,0.25974025974026,22
"magic-niab",1000,3,"tabu",0.878787878787879,0.246753246753247,23
"magic-niab",1000,3,"mmhc",0.833333333333333,0.246575342465753,22
"magic-niab",1000,3,"h2pc",0.833333333333333,0.225352112676056,19
"magic-niab",1000,4,"hc",0.560606060606061,0.47887323943662,36
"magic-niab",1000,4,"tabu",0.772727272727273,0.310810810810811,29
"magic-niab",1000,4,"mmhc",0.545454545454545,0.462686567164179,34
"magic-niab",1000,4,"h2pc",0.53030303030303,0.46969696969697,33
"magic-niab",1000,5,"hc",0.651515151515151,0.410958904109589,38
"magic-niab",1000,5,"tabu",0.636363636363636,0.424657534246575,39
"magic-niab",1000,5,"mmhc",0.590909090909091,0.409090909090909,39
"magic-niab",1000,5,"h2pc",0.590909090909091,0.380952380952381,36
"magic-niab",1000,6,"hc",0.772727272727273,0.328947368421053,28
"magic-niab",1000,6,"tabu",0.803030303030303,0.311688311688312,26
"magic-niab",1000,6,"mmhc",0.757575757575758,0.315068493150685,27
"magic-niab",1000,6,"h2pc",0.757575757575758,0.295774647887324,25
"magic-niab",1000,7,"hc",0.772727272727273,0.310810810810811,21
"magic-niab",1000,7,"tabu",0.772727272727273,0.32,23
"magic-niab",1000,7,"mmhc",0.757575757575758,0.285714285714286,19
"magic-niab",1000,7,"h2pc",0.742424242424242,0.3,20
"magic-niab",1000,8,"hc",0.803030303030303,0.242857142857143,22
"magic-niab",1000,8,"tabu",0.803030303030303,0.242857142857143,22
"magic-niab",1000,8,"mmhc",0.803030303030303,0.208955223880597,17
"magic-niab",1000,8,"h2pc",0.787878787878788,0.212121212121212,17
"magic-niab",1000,9,"hc",0.727272727272727,0.333333333333333,30
"magic-niab",1000,9,"tabu",0.863636363636364,0.22972972972973,26
"magic-niab",1000,9,"mmhc",0.757575757575758,0.264705882352941,25
"magic-niab",1000,9,"h2pc",0.742424242424242,0.234375,22
