"net","n","rep","method","power","fdr","shd","edges","lambda_idx"
"magic-niab",300,0,"CCDr",0.393939393939394,0.518518518518518,53,54,9
"magic-niab",300,1,"CCDr",0.348484848484849,0.581818181818182,55,55,9
"magic-niab",300,2,"CCDr",0.348484848484849,0.589285714285714,63,56,9
"magic-niab",300,3,"CCDr",0.393939393939394,0.729166666666667,88,96,10
"magic-niab",300,4,"CCDr",0.393939393939394,0.518518518518518,51,54,9
"magic-niab",300,5,"CCDr",0.393939393939394,0.5,55,52,9
"magic-niab",300,6,"CCDr",0.409090909090909,0.584615384615385,62,65,9
"magic-niab",300,7,"CCDr",0.46969696969697,0.673684210526316,88,95,10
"magic-niab",300,8,"CCDr",0.333333333333333,0.765957446808511,94,94,10
"magic-niab",300,9,"CCDr",0.363636363636364,0.741935483870968,91,93,10
"magic-niab",1000,0,"CCDr",0.712121212121212,0.328571428571429,22,70,11
"magic-niab",1000,1,"CCDr",0.424242424242424,0.525423728813559,40,59,10
"magic-niab",1000,2,"CCDr",0.424242424242424,0.377777777777778,37,45,9
"magic-niab",1000,3,"CCDr",0.545454545454545,0.4,31,60,10
"magic-niab",1000,4,"CCDr",0.636363636363636,0.363636363636364,28,66,11
"magic-niab",1000,5,"CCDr",0.53030303030303,0.477611940298507,39,67,11
"magic-niab",1000,6,"CCDr",0.46969696969697,0.27906976744186,33,43,9
"magic-niab",1000,7,"CCDr",0.666666666666667,0.397260273972603,28,73,11
"magic-niab",1000,8,"CCDr",0.545454545454545,0.454545454545455,35,66,11
"magic-niab",1000,9,"CCDr",0.5,0.410714285714286,33,56,10
